id,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hab,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_acceso_teconologia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total_acceso_velocidad,Banda ancha fija,Dial up,Total,Mbps (Media de bajada)
20233Tucumán,2023,3,Tucumán,61.26,15.17,46348.0,20545.0,195053.0,4088.0,523.0,266557.0,39.0,1236.0,20378.0,25026.0,25523.0,1633.0,192051.0,671.0,266557.0,266530.0,27.0,266557.0,98.85
20232Buenos Aires,2023,2,Buenos Aires,79.67,27.1,265537.0,2766463.0,1645945.0,138405.0,69138.0,4885488.0,28007.0,24674.0,246067.0,253078.0,245505.0,107502.0,3883235.0,97420.0,4885488.0,4879442.0,6046.0,4885488.0,138.35
20232Capital Federal,2023,2,Capital Federal,115.48,47.27,68348.0,1218631.0,136295.0,4504.0,29900.0,1457678.0,516.0,4422.0,27827.0,54111.0,34364.0,6189.0,1330249.0,0.0,1457678.0,1455578.0,2100.0,1457678.0,208.01
20232Catamarca,2023,2,Catamarca,67.42,17.15,7637.0,10700.0,53177.0,1384.0,92.0,72990.0,71.0,226.0,3329.0,4076.0,4788.0,2285.0,58048.0,167.0,72990.0,72989.0,1.0,72990.0,86.13
20232Chaco,2023,2,Chaco,42.87,11.46,19115.0,59944.0,51955.0,8267.0,2574.0,141855.0,236.0,475.0,14630.0,14176.0,7446.0,3008.0,97897.0,3987.0,141855.0,141850.0,5.0,141855.0,105.45
20232Chubut,2023,2,Chubut,82.49,25.28,33702.0,73689.0,16111.0,30521.0,9938.0,163961.0,109.0,1467.0,45798.0,31021.0,24750.0,17708.0,28859.0,14249.0,163961.0,163078.0,883.0,163961.0,18.58
20232Córdoba,2023,2,Córdoba,90.13,27.59,129303.0,453924.0,411703.0,62391.0,10430.0,1067751.0,99.0,8627.0,126496.0,99026.0,52240.0,25144.0,712647.0,43472.0,1067751.0,1067686.0,65.0,1067751.0,111.82
20232Corrientes,2023,2,Corrientes,52.37,13.79,26821.0,82977.0,32834.0,10407.0,5255.0,158294.0,67.0,2945.0,21781.0,22144.0,5937.0,4593.0,93048.0,7779.0,158294.0,158290.0,4.0,158294.0,97.21
20232Entre Ríos,2023,2,Entre Ríos,64.43,19.26,46503.0,142562.0,49251.0,24461.0,11170.0,273947.0,107.0,4377.0,39693.0,49240.0,20231.0,22661.0,137638.0,0.0,273947.0,273927.0,20.0,273947.0,89.37
20232Formosa,2023,2,Formosa,38.32,9.75,11934.0,17678.0,13698.0,16813.0,227.0,60350.0,84.0,186.0,21944.0,11825.0,5202.0,300.0,20428.0,381.0,60350.0,60350.0,0.0,60350.0,77.32
20232Jujuy,2023,2,Jujuy,57.78,14.78,13749.0,51082.0,47289.0,4067.0,1255.0,117442.0,58.0,1440.0,16174.0,12344.0,29181.0,300.0,55867.0,2078.0,117442.0,117442.0,0.0,117442.0,43.56
20232La Pampa,2023,2,La Pampa,98.35,32.4,7254.0,59101.0,31449.0,19993.0,1113.0,118910.0,68.0,1365.0,48635.0,18475.0,14999.0,4266.0,29134.0,1968.0,118910.0,118744.0,166.0,118910.0,22.78
20232La Rioja,2023,2,La Rioja,80.01,21.3,4152.0,55148.0,21245.0,6395.0,32.0,86972.0,18.0,454.0,1719.0,2236.0,24737.0,4888.0,52920.0,0.0,86972.0,86968.0,4.0,86972.0,63.55
20232Mendoza,2023,2,Mendoza,52.09,14.54,25299.0,71931.0,171857.0,27609.0,980.0,297676.0,103.0,2945.0,36286.0,20985.0,33217.0,12649.0,176628.0,14863.0,297676.0,296921.0,755.0,297676.0,42.69
