Año,Trimestre,Provincia,Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares
2019,4,Jujuy,12.416232242802142,48.55414305406647
2019,4,La Pampa,22.722927034415083,68.96619212539461
2019,4,La Rioja,4.859805904796046,18.25623563135467
2019,4,Mendoza,5.174468678732593,18.542467003917693
2019,4,Misiones,11.525598743024673,42.31523067052216
2019,4,Neuquén,11.653005920499616,39.14803166463623
2019,4,Río Negro,14.904068384545825,48.4555595474899
2019,4,Salta,13.37526149111107,55.225850534805424
2019,4,San Juan,3.802403809617042,14.927184466019417
2019,4,San Luis,9.595412147741841,33.52813283294789
2019,4,Santa Cruz,13.305106848159637,44.71568974841946
2019,4,Santa Fe,18.69484077500575,59.45353157500594
2019,4,Santiago Del Estero,9.24289211981363,37.24305667772958
2019,4,Tierra Del Fuego,24.320719729984265,82.03342343586607
2019,4,Tucumán,6.739038723209564,27.2052579817218
2019,3,Buenos Aires,15.735082573101673,47.9456944092478
2019,3,Capital Federal,28.07000643096863,67.41226318426354
2019,3,Catamarca,9.899957810613298,38.9190734915642
2019,3,Chaco,9.337152730109725,34.9349327403417
2019,3,Chubut,11.51759386671909,37.57415107044752
2019,3,Córdoba,29.6118873007508,96.71777604142942
2019,3,Corrientes,9.799339790433342,37.21432667103539
2019,3,Entre Ríos,15.728759583680205,52.60596893701563
2019,3,Formosa,9.82703774689879,38.61027585305269
2019,3,Jujuy,11.96941272270494,46.80646284274978
2019,3,La Pampa,23.206142901695028,70.4329362406092
2019,3,La Rioja,5.160773191108919,19.3867801615565
2019,3,Mendoza,5.265040856400836,18.86692064921717
2019,3,Misiones,11.48354303968043,42.16061859546865
2019,3,Neuquén,11.781826595649136,39.58045677231956
2019,3,Río Negro,15.070735967725362,48.996949531001384
2019,3,Salta,13.368564360474561,55.197797208430366
2019,3,San Juan,3.9751196617183244,15.605131065253765
2019,3,San Luis,9.850811541481548,34.420365353893175
2019,3,Santa Cruz,13.42295933324957,45.10992465258555
2019,3,Santa Fe,18.658073168066156,59.33642031178724
2019,3,Santiago Del Estero,9.244867914257672,37.25075604001196
2019,3,Tierra Del Fuego,25.231471943775713,85.10393297464711
2019,3,Tucumán,6.550271430623238,26.44303407658329
2019,2,Buenos Aires,15.482817858030794,47.28460849081255
2019,2,Capital Federal,26.38674973475574,63.29347106302164
2019,2,Catamarca,8.03974552753464,31.60554446365625
2019,2,Chaco,9.107807627366137,34.07589515592228
2019,2,Chubut,14.424207927062993,47.05453023285767
2019,2,Córdoba,28.602130819771926,93.41802054974971
2019,2,Corrientes,9.762921076074043,37.07504284204369
2019,2,Entre Ríos,15.422230416680938,51.579881252985736
2019,2,Formosa,10.187828023821115,40.02685618838633
2019,2,Jujuy,11.624884473197783,45.4580456377217
2019,2,La Pampa,23.40357239390936,71.03048118745888
2019,2,La Rioja,6.672663910340348,25.0656002788617
2019,2,Mendoza,7.096986269076512,25.430927759976697
2019,2,Misiones,11.354138246481247,41.68412183560619
2019,2,Neuquén,12.092550876255203,40.6227393760293
2019,2,Río Negro,14.747000698537141,47.94290401100645
2019,2,Salta,13.20145472143935,54.50599888925783
2019,2,San Juan,5.614659889273804,22.041067406876426
2019,2,San Luis,10.680819751569889,37.31953734671126
2019,2,Santa Cruz,14.762624616456678,49.60861888260455
2019,2,Santa Fe,17.196040963689825,54.68610713356192
2019,2,Santiago Del Estero,11.261939634366302,45.37753529632252
2019,2,Tierra Del Fuego,27.13439554581532,91.5158416237165
2019,2,Tucumán,7.022922574443971,28.350361229483273
2019,1,Buenos Aires,15.522698753736377,47.512969454287514
2019,1,Capital Federal,25.70049174455336,61.571859908092975
2019,1,Catamarca,8.065270336093521,31.7060327247312
2019,1,Chaco,9.009986790849508,33.7102348919346
2019,1,Chubut,14.981025279251387,48.87194136035356
2019,1,Córdoba,28.500938392800823,93.08827983573879
2019,1,Corrientes,9.149710804718483,34.7465674763023
2019,1,Entre Ríos,15.357773664457257,51.364570278239924
2019,1,Formosa,9.479239936577843,37.24300905868452
2019,1,Jujuy,11.571242380758042,45.2485752675717
2019,1,La Pampa,22.954117723408398,69.6671262556628
2019,1,La Rioja,6.706339354064511,25.192360004663275
2019,1,Mendoza,7.1571495084779775,25.646731114648286
2019,1,Misiones,11.06850448321871,40.6359776760786
2019,1,Neuquén,12.26350186562876,41.197667056177
2019,1,Río Negro,12.263605324144951,39.869928770517184
2019,1,Salta,12.475518843439835,51.50936276590727
2019,1,San Juan,5.724529654369981,22.47252299096674
2019,1,San Luis,10.714857284606582,37.4390124561379
2019,1,Santa Cruz,16.07136292555192,54.00938913597142
2019,1,Santa Fe,17.142940410233056,54.51750137659444
2019,1,Santiago Del Estero,11.318650798585635,45.60638706552421
2019,1,Tierra Del Fuego,27.330273588841866,92.17964697840858
2019,1,Tucumán,7.113114456281848,28.714714118709175
2018,4,Buenos Aires,15.466294079301788,47.44643662577078
2018,4,Capital Federal,24.464769241594627,58.539619685318634
2018,4,Catamarca,8.188058054783955,32.1888823851151
2018,4,Chaco,8.428852796416807,31.5359441027308
2018,4,Chubut,15.032885785774491,49.04138655234755
2018,4,Córdoba,28.56166392112294,93.28670600240817
2018,4,Corrientes,9.250776077890986,35.13046406311203
2018,4,Entre Ríos,15.248559805767806,50.99935351793988
2018,4,Formosa,9.856442987405693,38.725125809952964
2018,4,Jujuy,13.031039549648625,50.957150232318014
2018,4,La Pampa,23.018215956069064,69.8612267316621
2018,4,La Rioja,6.445443764871955,24.212383514641086
